,iso_code,year,population,gdp,electricity_demand,electricity_generation,net_elec_imports,primary_energy_consumption,greenhouse_gas_emissions
211,AUS,2001,19365438.0,713890072308.0,224.26,224.26,0.0,1315.385,180.11
212,AUS,2002,19595356.0,747065694937.0,223.49,223.49,0.0,1341.745,177.6
213,AUS,2003,19819449.0,774450991263.0,225.95,225.95,0.0,1360.862,178.99
214,AUS,2004,20046679.0,809792445090.0,229.23,229.23,0.0,1404.444,181.74
215,AUS,2005,20294490.0,840092380696.0,230.74,230.74,0.0,1410.35,182.7
216,AUS,2006,20590566.0,866678665246.0,237.99,237.99,0.0,1470.838,188.13
217,AUS,2007,20954545.0,911250727265.0,243.19,243.19,0.0,1506.167,192.4
218,AUS,2008,21370595.0,937889628737.0,245.38,245.38,0.0,1531.745,194.22
219,AUS,2009,21783014.0,963129933389.0,249.9,249.9,0.0,1509.545,196.2
220,AUS,2010,22141583.0,993853968687.0,250.97,250.97,0.0,1508.838,194.67
221,AUS,2011,22479779.0,1024000293343.0,256.28,256.28,0.0,1558.602,192.06
222,AUS,2012,22852648.0,1062662906305.0,250.66,250.66,0.0,1536.113,187.24
223,AUS,2013,23236271.0,1086068056518.0,249.56,249.56,0.0,1555.586,181.22
224,AUS,2014,23595599.0,1113888062929.0,247.65,247.65,0.0,1566.458,181.82
225,AUS,2015,23947997.0,1139303344945.0,253.99,253.99,0.0,1601.626,185.34
226,AUS,2016,24329963.0,1169967279612.0,258.23,258.23,0.0,1606.889,184.25
227,AUS,2017,24731044.0,1197832839959.0,258.97,258.97,0.0,1602.028,185.96
228,AUS,2018,25119700.0,1231576952488.0,262.63,262.63,0.0,1625.908,180.8
229,AUS,2019,25482714.0,1255505542015.0,265.9,265.9,0.0,1680.293,178.18
230,AUS,2020,25743787.0,1232259790388.0,265.15,265.15,0.0,1585.412,170.31
231,AUS,2021,25956417.0,1296705194119.0,267.45,267.45,0.0,1589.323,162.05
232,AUS,2022,26200987.0,1344251444393.0,272.92,272.92,0.0,1660.79,157.71
233,AUS,2023,26451126.0,,273.11,273.11,0.0,1657.377,151.93
234,AUS,2024,26713206.0,,279.9,279.9,0.0,1672.114,154.39
401,BEL,2001,10287005.0,349015220419.0,87.74,78.63,9.11,736.859,19.88
402,BEL,2002,10332975.0,355705534550.0,88.53,80.94,7.59,733.474,20.22
