,iso_code,year,Type,consumption,electricity,production
2873,AUS,2001,biofuel,0.0,0.8,0.0
2874,AUS,2001,coal,585.691,179.88,2157.921
2875,AUS,2001,fossil,0.0,207.0,0.0
2876,AUS,2001,fossil_fuel,1264.47,0.0,0.0
2877,AUS,2001,gas,221.693,24.5,326.413
2878,AUS,2001,hydro,44.54,16.12,0.0
2879,AUS,2001,low_carbon,47.975,17.26,0.0
2880,AUS,2001,nuclear,0.0,0.0,0.0
2881,AUS,2001,oil,457.085,2.62,399.147
2882,AUS,2001,other_renewable,2.492,0.798,0.0
2883,AUS,2001,renewables,47.975,17.26,0.0
2884,AUS,2001,solar,0.15,0.05,0.0
2885,AUS,2001,wind,0.793,0.29,0.0
2886,AUS,2002,biofuel,0.0,1.27,0.0
2887,AUS,2002,coal,598.872,171.86,2224.046
2888,AUS,2002,fossil,0.0,205.54,0.0
2889,AUS,2002,fossil_fuel,1288.995,0.0,0.0
2890,AUS,2002,gas,228.148,30.55,330.012
2891,AUS,2002,hydro,44.096,16.09,0.0
2892,AUS,2002,low_carbon,49.676,17.95,0.0
2893,AUS,2002,nuclear,0.0,0.0,0.0
2894,AUS,2002,oil,461.975,3.13,396.668
2895,AUS,2002,other_renewable,3.959,1.267,0.0
2896,AUS,2002,renewables,49.676,17.95,0.0
2897,AUS,2002,solar,0.16,0.06,0.0
2898,AUS,2002,wind,1.462,0.53,0.0
2899,AUS,2003,biofuel,0.0,1.69,0.0
2900,AUS,2003,coal,616.021,173.61,2299.048
2901,AUS,2003,fossil,0.0,207.29,0.0
2902,AUS,2003,fossil_fuel,1306.224,0.0,0.0
2903,AUS,2003,gas,229.943,30.15,337.452
2904,AUS,2003,hydro,44.17,16.21,0.0
2905,AUS,2003,low_carbon,51.548,18.66,0.0
2906,AUS,2003,nuclear,0.0,0.0,0.0
2907,AUS,2003,oil,460.26,3.53,343.35
2908,AUS,2003,other_renewable,5.287,1.692,0.0
2909,AUS,2003,renewables,51.548,18.66,0.0
2910,AUS,2003,solar,0.172,0.06,0.0
2911,AUS,2003,wind,1.918,0.7,0.0
2912,AUS,2004,biofuel,0.0,2.82,0.0
2913,AUS,2004,coal,641.921,178.96,2388.831
2914,AUS,2004,fossil,0.0,209.85,0.0
2915,AUS,2004,fossil_fuel,1347.753,0.0,0.0
2916,AUS,2004,gas,234.536,27.36,359.303
2917,AUS,2004,hydro,42.511,15.69,0.0
2918,AUS,2004,low_carbon,53.661,19.38,0.0
2919,AUS,2004,nuclear,0.0,0.0,0.0
2920,AUS,2004,oil,471.296,3.53,299.859
2921,AUS,2004,other_renewable,8.798,2.815,0.0
2922,AUS,2004,renewables,53.661,19.38,0.0
2923,AUS,2004,solar,0.198,0.07,0.0
2924,AUS,2004,wind,2.154,0.8,0.0
2925,AUS,2005,biofuel,0.234,3.87,0.0
2926,AUS,2005,coal,638.222,182.98,2501.289
2927,AUS,2005,fossil,0.0,210.02,0.0
2928,AUS,2005,fossil_fuel,1349.514,0.0,0.0
2929,AUS,2005,gas,232.59,23.26,382.353
2930,AUS,2005,hydro,41.574,15.47,0.0
2931,AUS,2005,low_carbon,57.624,20.72,0.0
2932,AUS,2005,nuclear,0.0,0.0,0.0
2933,AUS,2005,oil,478.702,3.78,294.556
2934,AUS,2005,other_renewable,12.097,3.871,0.0
2935,AUS,2005,renewables,57.624,20.72,0.0
2936,AUS,2005,solar,0.226,0.08,0.0
2937,AUS,2005,wind,3.492,1.3,0.0
2938,AUS,2006,biofuel,0.759,3.93,0.0
2939,AUS,2006,coal,655.499,185.76,2556.841
2940,AUS,2006,fossil,0.0,216.85,0.0
2941,AUS,2006,fossil_fuel,1408.571,0.0,0.0
2942,AUS,2006,gas,259.431,27.29,406.822
2943,AUS,2006,hydro,39.96,14.95,0.0
2944,AUS,2006,low_carbon,59.05,21.14,0.0
2945,AUS,2006,nuclear,0.0,0.0,0.0
2946,AUS,2006,oil,493.642,3.8,268.957
2947,AUS,2006,other_renewable,12.289,3.932,0.0
2948,AUS,2006,renewables,59.05,21.14,0.0
2949,AUS,2006,solar,0.261,0.1,0.0
2950,AUS,2006,wind,5.781,2.16,0.0
2951,AUS,2007,biofuel,0.966,4.28,0.0
2952,AUS,2007,coal,649.802,185.49,2640.855
2953,AUS,2007,fossil,0.0,222.9,0.0
